site,label
https://www.zapimoveis.com.br/,0
https://www.zapimoveis.com.br/venda/imoveis/sp+sao-paulo+zona-sul+morumbi/,0
https://www.zapimoveis.com.br/venda/imoveis/sp+sao-paulo+zona-oeste+vl-progredior/,0
https://www.zapimoveis.com.br/Favorito/Listar,0
https://www.zapimoveis.com.br/alerta,0
https://www.zapimoveis.com.br/venda/imoveis/rj+rio-de-janeiro/,0
"https://www.zapimoveis.com.br/aluguel/imoveis/rj+rio-de-janeiro/#{%22parametrosautosuggest%22:[{%22Bairro%22:%22%22,%22Zona%22:%22%22,%22Cidade%22:%22RIO%20DE%20JANEIRO%22,%22Agrupamento%22:%22%22,%22Estado%22:%22RJ%22}],%22pagina%22:%221%22,%22ordem%22:%22Relevancia%22,%22paginaOrigem%22:%22ResultadoBusca%22,%22semente%22:%221800858105%22,%22formato%22:%22Lista%22}",0
https://www.zapimoveis.com.br/aluguel/imoveis/rs+porto-alegre/,0
"https://www.zapimoveis.com.br/aluguel/imoveis/pe+recife/#{%22filtrosuites%22:%221;%22,%22parametrosautosuggest%22:[{%22Bairro%22:%22%22,%22Zona%22:%22%22,%22Cidade%22:%22RECIFE%22,%22Agrupamento%22:%22%22,%22Estado%22:%22PE%22}],%22pagina%22:%221%22,%22ordem%22:%22Relevancia%22,%22paginaOrigem%22:%22ResultadoBusca%22,%22semente%22:%22376002939%22,%22formato%22:%22Lista%22}",0
"https://www.zapimoveis.com.br/aluguel/imoveis/rs+porto-alegre/2-quartos/#{%22precomaximo%22:%222147483647%22,%22filtrodormitorios%22:%222;%22,%22filtrosuites%22:%222;%22,%22parametrosautosuggest%22:[{%22Bairro%22:%22%22,%22Zona%22:%22%22,%22Cidade%22:%22PORTO%20ALEGRE%22,%22Agrupamento%22:%22%22,%22Estado%22:%22RS%22}],%22pagina%22:%221%22,%22ordem%22:%22Relevancia%22,%22paginaOrigem%22:%22ResultadoBusca%22,%22semente%22:%22401568345%22,%22formato%22:%22Lista%22}",0
https://www.zapimoveis.com.br/oferta/aluguel+apartamento+2-quartos+petropolis+porto-alegre+rs+72m2+RS1500/ID-14573242/?paginaoferta=1,1
https://www.zapimoveis.com.br/oferta/aluguel+apartamento+2-quartos+bela-vista+porto-alegre+rs+89m2+RS5500/ID-14573236/?paginaoferta=1,1
https://www.zapimoveis.com.br/oferta/venda+apartamento+3-quartos+bela-vista+porto-alegre+rs+104m2+RS1060000/ID-7316528/?oti=1,1
https://www.zapimoveis.com.br/lancamento/apartamento+venda+vl-rosa+novo-hamburgo+rs+parque-porto-trinidad+mrv-engenharia-s-a+46m2/ID-12865/?contato=0&oti=4,1
https://www.zapimoveis.com.br/lancamento/apartamento+venda+perdizes+zona-oeste+sao-paulo+sp+bosque-araucaria+tecnisa+157m2/ID-8089/?contato=0,1
https://www.zapimoveis.com.br/lancamento/apartamento+venda+rosarinho+recife+pe+park-dumont+roccia-construtora+50m2/ID-13471/?contato=0,1
https://www.zapimoveis.com.br/lancamento/apartamento+venda+torre+recife+pe+lara+roccia-construtora+63m2/ID-13472/?contato=0,1
https://www.zapimoveis.com.br/superdestaque/aluguel+apartamento+2-quartos+boa-viagem+recife+pe+73m2+RS1680/ID-13946474/,1
https://www.zapimoveis.com.br/superdestaque/aluguel+apartamento+2-quartos+gracas+recife+pe+46m2+RS1300/ID-14950680/,1
https://www.zapimoveis.com.br/oferta/aluguel+apartamento+3-quartos+jaqueira+recife+pe+95m2+RS1000/ID-14244802/?paginaoferta=1,1
http://www.olx.com.br/imoveis,0
